time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.keepAlive32Broadcast
2024/07/17/13:47:01.347594,0,1721213221,347033249,,1
2024/07/17/13:47:01.359092,1,1721213221,358117750,,2
2024/07/17/13:47:01.367378,2,1721213221,366894585,,3
2024/07/17/13:47:01.377198,3,1721213221,376818836,,4
2024/07/17/13:47:01.387813,4,1721213221,387251753,,5
2024/07/17/13:47:01.397402,5,1721213221,396907088,,6
2024/07/17/13:47:01.407149,6,1721213221,406799839,,7
2024/07/17/13:47:01.418070,7,1721213221,417607548,,8
2024/07/17/13:47:01.427234,8,1721213221,426767632,,9
2024/07/17/13:47:01.437022,9,1721213221,436400508,,10
2024/07/17/13:47:01.447032,10,1721213221,446497718,,11
2024/07/17/13:47:01.457878,11,1721213221,456931510,,12
2024/07/17/13:47:01.467086,12,1721213221,466666761,,13
2024/07/17/13:47:01.477681,13,1721213221,477202929,,14
2024/07/17/13:47:01.487123,14,1721213221,486509430,,15
2024/07/17/13:47:01.498136,15,1721213221,497474056,,16
2024/07/17/13:47:01.507221,16,1721213221,506275682,,17
2024/07/17/13:47:01.516833,17,1721213221,516233183,,18
2024/07/17/13:47:01.527523,18,1721213221,526517642,,19
2024/07/17/13:47:01.536501,19,1721213221,536100352,,20
2024/07/17/13:47:01.547294,20,1721213221,546856144,,21
2024/07/17/13:47:01.557242,21,1721213221,556498937,,22
2024/07/17/13:47:01.567402,22,1721213221,566895980,,23
2024/07/17/13:47:01.576852,23,1721213221,576421522,,24
2024/07/17/13:47:01.587398,24,1721213221,586400898,,25
2024/07/17/13:47:01.597031,25,1721213221,596366858,,26
2024/07/17/13:47:01.607171,26,1721213221,606592400,,27
2024/07/17/13:47:01.617266,27,1721213221,616460068,,28
2024/07/17/13:47:01.627215,28,1721213221,626703694,,29
2024/07/17/13:47:01.636563,29,1721213221,636148445,,30
2024/07/17/13:47:01.646584,30,1721213221,645899446,,31
2024/07/17/13:47:01.656371,31,1721213221,655879114,,32
2024/07/17/13:47:01.667080,32,1721213221,666296281,,33
2024/07/17/13:47:01.676785,33,1721213221,676200699,,34
2024/07/17/13:47:01.686425,34,1721213221,685872075,,35
2024/07/17/13:47:01.696157,35,1721213221,695430284,,36
2024/07/17/13:47:01.706764,36,1721213221,706165952,,37
2024/07/17/13:47:01.716641,37,1721213221,716201620,,38
2024/07/17/13:47:01.726525,38,1721213221,725838579,,39
2024/07/17/13:47:01.736411,39,1721213221,735837497,,40
2024/07/17/13:47:01.746173,40,1721213221,745697581,,41
2024/07/17/13:47:01.756840,41,1721213221,756210707,,42
2024/07/17/13:47:01.766465,42,1721213221,765910958,,43
2024/07/17/13:47:01.777083,43,1721213221,776578667,,44
2024/07/17/13:47:01.786407,44,1721213221,786026627,,45
2024/07/17/13:47:01.796820,45,1721213221,796396253,,46
2024/07/17/13:47:01.806316,46,1721213221,805678837,,47
2024/07/17/13:47:01.815830,47,1721213221,815436255,,48
2024/07/17/13:47:01.826147,48,1721213221,825677839,,49
2024/07/17/13:47:01.836126,49,1721213221,835693382,,50
2024/07/17/13:47:01.851556,50,1721213221,851001508,,51
2024/07/17/13:47:01.855861,51,1721213221,855518259,,52
2024/07/17/13:47:01.865556,52,1721213221,865163093,,53
2024/07/17/13:47:01.875672,53,1721213221,875347511,,54
2024/07/17/13:47:01.886557,54,1721213221,886060720,,55
2024/07/17/13:47:01.896214,55,1721213221,895694763,,56
2024/07/17/13:47:01.905786,56,1721213221,905202514,,57
2024/07/17/13:47:01.918566,57,1721213221,915638931,,58
2024/07/17/13:47:01.925507,58,1721213221,924980141,,59
2024/07/17/13:47:01.935715,59,1721213221,934871142,,60
2024/07/17/13:47:01.946202,60,1721213221,945364143,,61
2024/07/17/13:47:01.955100,61,1721213221,954786144,,62
2024/07/17/13:47:01.965547,62,1721213221,965131270,,63
2024/07/17/13:47:01.975770,63,1721213221,975087312,,64
2024/07/17/13:47:01.986229,64,1721213221,985748313,,65
2024/07/17/13:47:01.995094,65,1721213221,994644439,,66
2024/07/17/13:47:02.005536,66,1721213222,5088149,,67
2024/07/17/13:47:02.015518,67,1721213222,15058483,,68
2024/07/17/13:47:02.025532,68,1721213222,24872192,,69
2024/07/17/13:47:02.035205,69,1721213222,34774860,,70
2024/07/17/13:47:02.045400,70,1721213222,45001861,,71
2024/07/17/13:47:02.055874,71,1721213222,55307320,,72
2024/07/17/13:47:02.065173,72,1721213222,64472071,,73
2024/07/17/13:47:02.074723,73,1721213222,74161531,,74
2024/07/17/13:47:02.084869,74,1721213222,84399323,,75
2024/07/17/13:47:02.094547,75,1721213222,94171616,,76
2024/07/17/13:47:02.105325,76,1721213222,104818034,,77
2024/07/17/13:47:02.115574,77,1721213222,114785160,,78
2024/07/17/13:47:02.125690,78,1721213222,125051827,,79
2024/07/17/13:47:02.135060,79,1721213222,134405287,,80
2024/07/17/13:47:02.145551,80,1721213222,144704621,,81
2024/07/17/13:47:02.155130,81,1721213222,154408664,,82
2024/07/17/13:47:02.167063,82,1721213222,166313332,,83
2024/07/17/13:47:02.175642,83,1721213222,175117582,,84
2024/07/17/13:47:02.185113,84,1721213222,184370708,,85
2024/07/17/13:47:02.195343,85,1721213222,194924084,,86
2024/07/17/13:47:02.206150,86,1721213222,205542502,,87
2024/07/17/13:47:02.215460,87,1721213222,214642503,,88
2024/07/17/13:47:02.224555,88,1721213222,224078212,,89
2024/07/17/13:47:02.235246,89,1721213222,234788797,,90
2024/07/17/13:47:02.244199,90,1721213222,243745589,,91
2024/07/17/13:47:02.254527,91,1721213222,254042007,,92
2024/07/17/13:47:02.265326,92,1721213222,264598883,,93
2024/07/17/13:47:02.274213,93,1721213222,273786967,,94
2024/07/17/13:47:02.284776,94,1721213222,284261593,,95
2024/07/17/13:47:02.294504,95,1721213222,293977011,,96
2024/07/17/13:47:02.305225,96,1721213222,304799304,,97
2024/07/17/13:47:02.314441,97,1721213222,313927888,,98
2024/07/17/13:47:02.326019,98,1721213222,325225889,,99
2024/07/17/13:47:02.334262,99,1721213222,333659140,,100
2024/07/17/13:47:02.343809,100,1721213222,343428516,,101
2024/07/17/13:47:02.353804,101,1721213222,353495975,,102
2024/07/17/13:47:02.364169,102,1721213222,363573060,,103
2024/07/17/13:47:02.373766,103,1721213222,373455019,,104
2024/07/17/13:47:02.384130,104,1721213222,383659853,,105
2024/07/17/13:47:02.394114,105,1721213222,393679188,,106
2024/07/17/13:47:02.403426,106,1721213222,403113439,,107
2024/07/17/13:47:02.413646,107,1721213222,413182356,,108
2024/07/17/13:47:02.423964,108,1721213222,423367357,,109
2024/07/17/13:47:02.434020,109,1721213222,433479442,,110
2024/07/17/13:47:02.444370,110,1721213222,443947943,,111
2024/07/17/13:47:02.454215,111,1721213222,453628069,,112
2024/07/17/13:47:02.464190,112,1721213222,463491945,,113
2024/07/17/13:47:02.474774,113,1721213222,474294113,,114
2024/07/17/13:47:02.483341,114,1721213222,482943197,,115
2024/07/17/13:47:02.493878,115,1721213222,493376406,,116
2024/07/17/13:47:02.503531,116,1721213222,503091240,,117
2024/07/17/13:47:02.513644,117,1721213222,513124283,,118
2024/07/17/13:47:02.523496,118,1721213222,523050867,,119
2024/07/17/13:47:02.533628,119,1721213222,533185702,,120
