time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.keepAlive32Broadcast
2024/08/01/14:59:17.579764,0,1722513557,567831668,,2
2024/08/01/14:59:17.580637,1,1722513557,570186584,,67142176
2024/08/01/14:59:17.580894,2,1722513557,572308168,,1
2024/08/01/14:59:17.581089,3,1722513557,572686751,,2
2024/08/01/14:59:17.592446,4,1722513557,580639127,,3
2024/08/01/14:59:17.593378,5,1722513557,580906877,,4
2024/08/01/14:59:17.593726,6,1722513557,580986794,,5
2024/08/01/14:59:17.593950,7,1722513557,581055627,,6
2024/08/01/14:59:17.601077,8,1722513557,584055419,,7
2024/08/01/14:59:17.601753,9,1722513557,584132419,,8
2024/08/01/14:59:17.601961,10,1722513557,584233628,,9
2024/08/01/14:59:17.602152,11,1722513557,584315878,,10
2024/08/01/14:59:17.608417,12,1722513557,599763712,,11
2024/08/01/14:59:17.608624,13,1722513557,599858796,,12
2024/08/01/14:59:17.608826,14,1722513557,599945712,,13
2024/08/01/14:59:17.608999,15,1722513557,600059462,,14
2024/08/01/14:59:17.609154,16,1722513557,600156004,,15
2024/08/01/14:59:17.609290,17,1722513557,600244379,,16
2024/08/01/14:59:17.609419,18,1722513557,600326629,,17
2024/08/01/14:59:17.609549,19,1722513557,603508129,,18
2024/08/01/14:59:17.609701,20,1722513557,603598838,,19
2024/08/01/14:59:17.614297,21,1722513557,605511588,,20
2024/08/01/14:59:17.617947,22,1722513557,610870964,,21
2024/08/01/14:59:17.619578,23,1722513557,611014464,,22
2024/08/01/14:59:17.619910,24,1722513557,611105464,,23
2024/08/01/14:59:17.620168,25,1722513557,611188297,,24
2024/08/01/14:59:17.624103,26,1722513557,613068672,,25
2024/08/01/14:59:17.625180,27,1722513557,615936922,,26
2024/08/01/14:59:17.625413,28,1722513557,617229881,,27
2024/08/01/14:59:17.625601,29,1722513557,619019256,,28
2024/08/01/14:59:17.629293,30,1722513557,628560840,,29
2024/08/01/14:59:17.630967,31,1722513557,629867799,,30
2024/08/01/14:59:17.633179,32,1722513557,631909174,,31
2024/08/01/14:59:17.637154,33,1722513557,633462591,,32
2024/08/01/14:59:17.638327,34,1722513557,633856924,,33
2024/08/01/14:59:17.649794,35,1722513557,636755799,,34
2024/08/01/14:59:17.650708,36,1722513557,636891424,,35
2024/08/01/14:59:17.651152,37,1722513557,636964633,,36
2024/08/01/14:59:17.651332,38,1722513557,637645675,,37
2024/08/01/14:59:17.651470,39,1722513557,638266050,,38
2024/08/01/14:59:17.651630,40,1722513557,645938925,,39
2024/08/01/14:59:17.651834,41,1722513557,646180717,,40
2024/08/01/14:59:17.652184,42,1722513557,646331217,,41
2024/08/01/14:59:17.652366,43,1722513557,646515842,,42
2024/08/01/14:59:17.654622,44,1722513557,649153092,,43
2024/08/01/14:59:17.654822,45,1722513557,649351426,,44
2024/08/01/14:59:17.654973,46,1722513557,650961718,,45
2024/08/01/14:59:17.655698,47,1722513557,651444426,,46
2024/08/01/14:59:17.656550,48,1722513557,651928301,,47
2024/08/01/14:59:17.657161,49,1722513557,654681926,,48
2024/08/01/14:59:17.664528,50,1722513557,660582052,,49
2024/08/01/14:59:17.664743,51,1722513557,660684135,,50
2024/08/01/14:59:17.664856,52,1722513557,660731094,,51
2024/08/01/14:59:17.664942,53,1722513557,663059469,,52
2024/08/01/14:59:17.669824,54,1722513557,667329761,,53
2024/08/01/14:59:17.671033,55,1722513557,667561636,,54
2024/08/01/14:59:17.673076,56,1722513557,668544261,,55
